Betriebliche Bildungsziele;Schulische Bildungsziele;Bildungsziele der UeK;Fachkompetenz;Methodenkompetenz;Sozialkompetenz;Selbstkompetenz;BMS Fachnote 1;BMS Fachnote 2;BMS Fachnote 3;BMS Fachnote 4;TBZ/BBW Modulnote 1;TBZ/BBW Modulnote 2;TBZ/BBW Modulnote 3;TBZ/BBW Modulnote 4;Uek Durchschnitt;Bonus
erfuellt;erfuellt;uebertroffen;uebertroffen;erfuellt;erfuellt;erfuellt;5;5.5;5;4.75;5.5;5;5.5;6;5.75;1
erfuellt;erfuellt;erfuellt;erfuellt;erfuellt;erfuellt;uebertroffen;4.5;5.5;5.5;5;5.5;5.5;6;5.5;6;1
erfuellt;nicht erfuellt;uebertroffen;erfuellt;knapp erfuellt;erfuellt;knapp erfuellt;;4.5;3.5;4.5;5;4.5;4.5;4.5;5.5;0
erfuellt;erfuellt;nicht erfuellt;erfuellt;knapp erfuellt;erfuellt;erfuellt;5;5;5;4.5;4;4.5;5;5.5;5;1
erfuellt;uebertroffen;knapp erfuellt;erfuellt;knapp erfuellt;uebertroffen;erfuellt;5;4;4.5;5;4.5;5;4.5;6;4.5;0.5
erfuellt;uebertroffen;erfuellt;erfuellt;erfuellt;uebertroffen;erfuellt;5;5;5;5;6;5.5;5;5.5;5.25;0.5
erfuellt;nicht erfuellt;erfuellt;knapp erfuellt;knapp erfuellt;erfuellt;erfuellt;3;4.5;4.5;5;5.5;4;4;4.5;5.25;0
erfuellt;nicht erfuellt;erfuellt;knapp erfuellt;knapp erfuellt;erfuellt;erfuellt;4.5;3.5;5;4.5;4.5;4.5;4;4;4.75;0.5
